text1,text2,label
guar flour,GUARAN,1
E514,whole chicken,0
E174,Silver,1
cysteine hcl,L-CYSTEINE,1
Lutein,potassium alginate,0
gold leaf,whole milke,0
E412,Whole Milk,0
propylene glycol algin,PG ALGINATE,1
citrus sinensis,Oranges,1
Sodium Carbonate,SODA ASH,1
sodium sulfite,sodium sulphite,1
ethyl 4-hydroxybenzoate,Ethyl Paraben,1
vitamin D3,VITAMIN D,1
calcium,calciam,1
copper chlorophyllin,Copper Chlorophyll,1
sodium ascorbate,SODIUM ASCORBATE,1
HCL,salvia hispanica,0
Glycine,glycine,1
VITAMIN B2,chile saltpeter,0
sodium sulphate,Sodium Sulphate,1
Sodium Nitrate,chile saltpeter,1
Ascorbyl Palmitate,ascorbyl palmitate,1
QUINOLINE YELLOW,calcium carbonate,0
microcrystalline wax,hemp seeds,0
whole milke,Whole Milk,1
Sodium Sulphite,sodium sulphite,1
Ghee,GHI,1
Iron Oxides,IRON OXIDE,1
rice,hydrolyzed collagen,0
potassium guanylate,Potassium Guanylate,1
SODIUM NITRITE,Dates,0
potassium sulfate,vitis vinifera dried,0
black pigment,leucine,0
titanium white,LAC RESIN,0
barley,maltodextrin,0
magnesium glutamate,MAGNESIUM GLUTAMATE,1
Calcium Chloride,CACL2,1
E341,calcium phosphate,1
AMMONIUM ALGINATE,confectioner's glaze,0
E142,glutamate,0
licopene,Calcium Oxide,0
SODIUM ASCORBATE,microwax,0
potassium sorbate,potassium sorbate,1
aminoacetic acid,Spinach,0
magnesium oxide,magnesium citrate,1
E334,TARTRATE,1
phenylbenzene,potassium chloride,0
Xanthan Gum,RICOTTA,0
E304,ASCORBYL PALMITATE,1
Calcium Sulphite,Monopotassium Glutamate,0
ethyl para-hydroxybenzoate,GUARAN,0
alginic acid,msg,0
Calcium Benzoate,E951,0
lecithin,SODIUM BICARBONATE,0
double cream,Heavy Cream,1
E620,glutamate,1
tartric acid,sodium bicarbonite,0
magnesium oxide,magnesiam,1
Calcium Oxide,petroleum wax,0
salt,table salt,1
Flaxseeds,Flaxseeds,1
italian cheese,RICOTTA,1
h2o,wheat,0
indigotine,glycine,0
E141,FLAXSEED,0
Enzymes,ENZIMES,1
E325,potassium carbonate,0
BHA,BUTYLATED HYDROXYANISOLE,1
calcium chlor,hydrolyzed collagen,0
E904,confectioner's glaze,1
E162,beetroot,1
phosphate,Phosphoric Acid,1
LYCOPENE,E640,0
disodium ribonucleotide,CAROTS,0
lac resin,LAC RESIN,1
sorbit,h2o,0
E131,cottage cheese,0
E230,diphenyl,1
E101,E640,0
H2O,wheat,0
Calcium Inosinate,calcium inosinate,1
Beeswax,BEE WAX,1
E622,monopotassium glutamate,1
microcrystalline wax,petroleum wax,1
microcrystalline wax,MICROWAX,1
chlorine gas,CHLORINE GAS,1
Whole Milk,organic milk,1
E150(a-d),caramel coloring,1
Corn,korn,1
calcium phosphate,calcium phosphate,1
Calcium Ascorbate,SODIUM CITRATE,0
carageenan,carrageenin,1
potassium chloride,POTASSIUM GLUTAMATE,0
E223,raisins,0
benzoic acid,baker's ammonia,0
soda ash,CELLULOSE,0
L-Glutamic Acid,Glutamic Acid,1
methyl cellulose,Methylcellulose,1
caramel coloring,VITAMIN D,0
azorubine,Carmoisine,1
Cellulose,cellulose,1
E300,ascorbate,1
sodium lactate,triticum,0
E504,spelt,0
calcium sulphite,L-CYSTEINE,0
calcium sulfite,calcium hydrogen sulfite,0
amaranth,ascorbyl palmitate,0
Shellac,E904,1
ghi,GHI,1
whipping cream,double cream,1
tartric acid,TARTRATE,1
caramel colour,E320,0
sodium metabisulphite,monosodium glutamate,0
Dimethylpolysiloxane,dimethylpolysiloxane,1
Silicon Dioxide,silicon dioxide,1
achiote,petroleum jelly,0
veal,ricota cheese,0
hexamine,HEXAMETHYLENETETRAMINE,1
E525,Buttermilk,0
pot cheese,cottage chese,1
Magnesium Carbonate,magnesium carb,1
erythrosine,Carrageenan,0
E160b,h2o,0
E201,protease,0
magnesium sulfate,EPSOM SALT,1
annato,ANNATO,1
Potassium Bromate,ground turky,0
cellulose,Cellulose,1
dairy butter,maize,0
soft cheese,cream cheese,1
E102,TURKEY,0
Beetroot Red,beetroot red,1
E127,erithrosine,1
L-Cysteine Hydrochloride,cysteine hcl,1
Calcium Carbonate,calcium carbonate,1
E160d,LYCOPENE,1
amarant,ricota cheese,0
Tartaric Acid,tartric acid,1
silica,silicon dioxide,1
tartrate,MILET,0
E252,Potassium Nitrate,1
DIPOTASSIUM GUANYLATE,beef cut,0
Ethyl Maltol,ETHYLMALTOL,1
Whey Protein Isolate,Whey Protein Isolate,1
sodium bicarbonate,sodium bicarb,1
ethyl para-hydroxybenzoate,microwax,0
Sodium Metabisulphite,sodium pyrosulfite,1
Locust Bean Gum,E410,1
carnauba wax,BRAZIL WAX,1
Greek Yogurt,Greek Yogurt,1
titanium white,Microcrystalline Wax,0
benzoic acid,PHOSPHATE,0
msg,oranges,0
BLACK PN,AMINOACETIC ACID,0
calcium citrate,CALCIAM,1
Sodium 5'-Ribonucleotide,disodium ribonucleotide,1
beta carotene,methylcellulose,0
sour creme,SOUR CREME,1
quicklime,CHICKEN LEGS,0
E334,tartaric acid,1
Propylene Glycol Alginate,propylene glycol algin,1
calcium benzoate,sour creme,0
potassium guanylate,Maltol,0
potassium sulphate,Potassium Sulphate,1
Vegetable Carbon,vegetable carbon,1
potassium pyrosulfite,vitamin d,0
sodium benzoate,SODIUM BENZOATE,1
E515,POTASSIUM SULFATE,1
E161b,LUTEINE,1
quinoline,calcium phosphate,0
E508,CACL2,0
Black PN,CACL2,0
periclase,zea mays,0
Monosodium Glutamate (MSG),MONOSODIUM GLUTAMATE,1
microcrystalline cellulose,sodium glutamate,0
Water,cultured cream,0
polydimethylsiloxane,linum usitatissimum,0
Azodicarbonamide,cornish hens,0
E530,Enzymes,0
riboflavin,epsom salt,0
aminoacetic acid,glycocoll,1
Amaranth,Calcium Sulphite,0
benzoic,E330,0
Ethyl Paraben,ground turky,0
E162,SULFURIC ACID,0
CAROB GUM,vitis vinifera,0
caramel,caramel coloring,1
sodium nitrite,sodium nitrite,1
ORNGES,solanum lycopersicum,0
cysteine,essential amino acid,0
Whole Milk,MILK,1
apples,Apples,1
sorbit,sorbite,1
Sodium Sulphite,SODIUM SULFITE,1
tartarazine,ssl,0
potassium inosinate,whey cheese,0
E311,octyl gallate,1
glycerin,glycerin,1
Duck Breast,duck breast,1
turkey breast,TURKEY,1
Phosphoric Acid,Alginic Acid,0
erythrosine,calcium,0
benzoate,Potassium Hydroxide,0
CALCIUM SORBATE,calcium sulphite,0
spelt,SPELT,1
copper chlorophyllin,cultured cream,0
ACACIA GUM,hemp seeds,0
PDMS,L-Leucine,0
Potassium Carbonate,POTASH,1
E903,BRAZIL WAX,1
dates,datess,1
sorbit,Sorbitol,1
AZORUBINE,soy lecithin,0
Whey Protein Isolate,whey protein isolate,1
Sodium Benzoate,SODIUM BENZOATE,1
E110,Turkey Breast,0
Ammonium Chloride,Maltol,0
BAKING SODA,microcrystalline cellulose,0
E334,Tartaric Acid,1
lysine,LYSINE,1
Benzoic Acid,E210,1
E170,palm wax,0
ascorbic acid,vitamin C,1
carmine,Calcium Ascorbate,0
RYCE,cellulose,0
beef cut,spinage,0
Black PN,E526,0
vitamin d,VITAMIN D,1
E330,Citric Acid,1
tartrate,tartatic acid,1
E330,pot cheese,0
mineral hydrocarbons,petroleum jelly,1
octyl gallate,Octyl Gallate,1
E203,calcium oxide,0
chenopodium quinoa,keenwa,1
Green S,Green S,1
E151,black pigment,1
ethyl para-hydroxybenzoate,calcium ascorbate,0
BRAZIL WAX,zea mays,0
yellow 5,YELLOW 5,1
Gelatin,hydrolyzed collagen,1
green s dye,polydimethylsiloxane,0
Sorbic Acid,SORBATE,1
brazil wax,palm wax,1
sodium phosphate,Sodium Phosphate,1
potassium metabisulphite,periclase,0
black pigment,glycerine,0
potassium sulphate,potash sulfate,1
microcrystalline cellulose,cellulose gel,1
beet red,beetroot,1
CALCIUM BISULFITE,vitamin c,0
E338,PHOSPHATE,1
msg,MSG,1
Potassium Guanylate,protease,0
sodium alginate,SODIUM ALGINATE,1
quicklime,dipotassium guanylate,0
Quinoline Yellow,quinoline yellow,1
Whole Milk,MILK,1
carmoisin,E334,0
guar gum,Guar Gum,1
carmine,cochinel,1
NaHCO3,Corn,0
XANTHUM,cellulose,0
magnesium glutamate,Magnesium Glutamate,1
chicken breast,Chicken Breast,1
E173,magnesium oxide,0
aqua,citrus sinensis,0
carbon black,CARBON BLACK,1
lamb cutlets,Lamb Chops,1
E508,E518,0
potassium bromate,BROMIC ACID POTASSIUM SALT,1
chicken this,zea mays,0
Calcium Phosphate,magnesium carbonate,0
SILVER,Propylene Glycol Alginate,0
POTASSIUM SORBATE,E905,0
E403,AMMONIUM ALGINATE,1
maize,zea mays,1
dark meat chicken,epa,0
E131,potash sulfate,0
E321,Cheddar Cheese,0
E101,VITAMIN B2,1
calcium carbonat,CHALK,1
Gum Arabic,Gum Arabic,1
calcium guanylate,calcium guanylate,1
Sodium Guanylate,sodium guanylate,1
brazil wax,BRAZIL WAX,1
carotene,hcl,0
E900,sour cream,0
leusine,LEUCINE,1
distilled water,OMEGA 3,0
sunflower lecithin,Lecithin,1
Hemp Seeds,essential amino acid,0
E407,Calcium Inosinate,0
Potassium Sorbate,buttermilk,0
Annatto,GELATINE,0
calcium oxide,QUICKLIME,1
Grapes,Grapes,1
ground turky,HEMP SEED,0
beetroot red,millet,0
CHALK,keefir,0
ground turkey,flaxseeds,0
E640,glycocoll,1
POTASSIUM SULFATE,cannabis sativa seeds,0
carmine,azodicarbonamide,0
E525,petroleum jelly,0
hexamine,whole bird,0
Dates,DATESS,1
GREEK YOGHURT,propylene glycol,0
E524,sodium hydroxide,1
Calcium Phosphate,E341,1
Ammonium Carbonate,LAC RESIN,0
hordeum vulgare,Vitamin C,0
LYE,ground turky,0
CALCIUM ASCORBATE,quinoa,0
SLAKED LIME,poultry breast,0
E102,tartazine,1
chicken this,Chicken Thighs,1
Potassium Metabisulphite,CALCIUM PHOSPHATE,0
sorbite,MINCED TURKEY,0
organic milk,Whole Milk,1
quinoline yellow,quinoline,1
AMMONIUM GLUTAMATE,dha,0
lithol rubine bk,LITHOL,1
Ascorbic Acid (Vitamin C),vitamin C,1
E227,chlorine oxide,0
Calcium Stearoyl Lactylate,CALCIUM STEAROYL LACTYLATE,1
carotens,potassium guanylate,0
cannabis sativa seeds,Hemp Seeds,1
solanum lycopersicum,TOMATOS,1
Sulphuric Acid,SULFURIC ACID,1
sodium bicarbonite,Lamb Chops,0
chia seeds,CHIA SEED,1
greek yogurt,Greek Yogurt,1
microcrystalline cellulose,ethylmaltol,0
sodium sulphite,E628,0
Xanthan Gum,XANTHUM,1
calcium glutamate,Buttermilk,0
GREEN S,hydrochloric acid,0
algin,Potatoes,0
E414,LAMB RIBS,0
gold leaf,Ascorbic Acid,0
turmeric,curcumin,1
chlorine dioxide,flax seeds,0
E330,l-lysine,0
Sunset Yellow FCF,SUNSET YELLOW,1
CARMINE,beeswax,0
Sodium Inosinate,Sodium Inosinate,1
Ponceau 4R,LEUCINE,0
Tocopherols,vitamin e,1
xanthum gum,aged cheese,0
Water,H2O,1
E221,calcium alginate,0
E230,E627,0
citric acid,citrate,1
E160b,calcium alginate,0
E131,patent blue,1
pectin,pectins,1
ascorbic acid,VITAMIN C,1
CHALK,STEARIC,0
E405,Propylene Glycol Alginate,1
E627,sodium guanylate,1
muriatic acid,maltol,0
Calcium Chloride,calcium chloride,1
glycerine,GLYCERIN,1
calcium benzoate,calcium benzoate,1
potassium nitrate,E338,0
carotene,CALCIUM BENZOATE,0
Monoammonium Glutamate,RASINS,0
calcium carbonate,CALCIUM CARBONATE,1
Ammonium Chloride,SAL AMMONIAC,1
Sodium Ascorbate,E301,1
irn,glucose,0
pearl ash,SULFURIC ACID,0
Citric Acid,CITRATE,1
E104,DIPHENYL,0
Sour Cream,sour creme,1
E104,hcl,0
E410,locust bean gum,1
hordeum vulgare,barley,1
E901,bee wax,1
chicken breat,CHICKEN,1
E132,INDIGOTINE,1
whipping cream,heavy creme,1
Sodium Citrate,SODIUM CITRATE,1
glutamate,pot cheese,0
sunflower lecithin,Sulphuric Acid,0
Cornish Hens,cornish hens,1
chlorophyl,Turkey Breast,0
monopotassium glutamate,maize,0
ALUMINUM,bromic acid potassium salt,0
Tartrazine,fermented milk drink,0
sour cream,Sour Cream,1
magnesium glutamate,turky breast,0
E160b,E526,0
turkey fillets,turky breast,1
sweet cream butter,butter,1
E640,glycine,1
Potassium Sulphate,E515,1
epa,omega-3,1
glutamic,WHIPPING CREAM,0
black pn,buttermilk,0
methenamine,carob gum,0
DIPHENYL,bht,0
E302,calcium ascorbate,1
E481,sodium stearoyl lactylate,1
E173,aluminium,1
BHT,BUTYLATED HYDROXYTOLUENE,1
E213,Magnesium Glutamate,0
Guar Gum,guaran,1
magnesium hydroxide,Magnesium Hydroxide,1
h2o,Water,1
ethyl maltol,ethylmaltol,1
Gum Arabic,Baking Soda,0
SODIUM SORBATE,azobisformamide,0
Calcium Bisulfite,lysine,0
Tomatoes,tomatos,1
titanium oxide,TITANIUM WHITE,1
spreadable cheese,Cream Cheese,1
carnauba wax,Carnauba Wax,1
sodium bicarbonat,DIPOTASSIUM INOSINATE,0
E529,Calcium Oxide,1
INDIGOTINE,ALUMINUM,0
Buttermilk,buttermilke,1
Chlorine,chlorine,1
Potassium Hydroxide,aged cheese,0
vitamin B2,riboflavin,1
Gold,GOLD,1
magnesia magma,MILK OF MAGNESIA,1
BENZOATE,carrageenan,0
sunset,E402,0
beta carotene,Butter,0
HARTSHORN,potatoes,0
Neotame,NEOTAM,1
E623,calcium glutamate,1
E620,glutamic,1
Indigo Carmine,APPLS,0
green s,magnesium glutamate,0
Cornish Hens,cornish hens,1
lithol rubine,LITHOL,1
indigo carmine,indigotine,1
Calcium Sorbate,CALCIUM SORBATE,1
Glycerol,magnesiam,0
Potassium Sorbate,POTASSIUM SORBATE,1
aspartam,turkey breast,0
Sodium Sulphate,Sodium Sulphate,1
E221,sodium sulphite,1
Oats,Oats,1
beef steak,STEAK,1
azorubin,green s,0
agar-agar,Carnauba Wax,0
KCL,ornges,0
Turkey Breast,TURKEY,1
E515,DISODIUM GUANYLATE,0
musa,bananas,1
bha,butylated hydroxyanisole,1
patent blue,Patent Blue,1
musa,BANANS,1
aluminum,gelatin,0
Pectin,pectins,1
E410,CAROB GUM,1
vitamin c,Magnesium Hydroxide,0
bha,whey protein,0
E904,lac resin,1
E926,chlorine oxide,1
Monopotassium Glutamate,monopotassium glutamate,1
aluminium,aluminum,1
Butylated Hydroxytoluene (BHT),BUTYLATED HYDROXYTOLUENE,1
Corn,corn,1
calcium stearoyl lactylate,Chlorine Dioxide,0
chlorine oxide,CAROTS,0
Carrageenan,carob bean gum,0
E636,Maltol,1
pearl ash,POTASH,1
sodium carbonate,SODA ASH,1
calcium benzoate,GRAPES,0
Sodium Metabisulphite,corn,0
Calcium Glutamate,calcium glutamate,1
tartrazine,TARTAZINE,1
Glutamic Acid,GLUTAMATE,1
sodium sorbate,SODIUM SORBATE,1
tartric acid,Calcium Glutamate,0
disodium guanylate,sodium guanylate,1
E338,phosphoric,1
calcium sorbate,gelatin,0
E170,E926,0
Monoammonium Glutamate,monoammonium glutamate,1
ponceau,calcium oxide,0
butylated hydroxytoluene,BHT,1
E637,ethylmaltol,1
Sorbitol,E420,1
heavy creme,panicum miliaceum,0
Beetroot Red,betanin,1
CALCIUM SORBATE,burnt lime,0
Sodium Benzoate,veal,0
aspartame,aspartame,1
methylcellulose,bromic acid potassium salt,0
minced turkey,ground turkey,1
turmeric,Locust Bean Gum,0
Amaranth,E123,1
E227,CALCIUM BISULFITE,1
lycopene,LYCOPENE,1
E102,aged cheese,0
beetroot,oryza sativa,0
CARMINE,pectine,0
brazil wax,Carnauba Wax,1
Gelatin,Gelatin,1
calcium inosinate,CALCIUM INOSINATE,1
potassium hydroxide,duck breast,0
magnesium sulfate,flaxseeds,0
Enzymes,ENZIMES,1
Ascorbyl Palmitate,ASCORBYL PALMITATE,1
E223,whole chicken,0
INDIGOTINE,MICROWAX,0
Xanthan Gum,xanthan,1
Propylene Glycol Alginate,CALCIUM INOSINATE,0
KEENWA,vitis vinifera dried,0
calcium bisulfite,CALCIUM BISULFITE,1
triticum,Wheat,1
potassium pyrosulfite,CHICKEN,0
ferric pyrophosphate,Iron,1
calcium ascorbate,beef cut,0
E110,sunset,1
Enzymes,Enzymes,1
Sulphuric Acid,sulfuric acid,1
octyl gallate,SODIUM PHOSPHATE,0
Ghee,ghee,1
sodium benzoate,E223,0
sulphuric acid,sulfuric acid,1
sulfite,flaxseeds,0
E203,Ascorbyl Palmitate,0
sodium hydroxide,vitis vinifera,0
E422,Glycerol,1
ssl,SODIUM STEAROYL LACTYLATE,1
Aspartame,double cream,0
indigotine,Oranges,0
Aluminium,WHIPPING CREAM,0
turmeric,AMINOACETIC ACID,0
E123,beet red,0
lamb ribs,LAMB RIBS,1
sweet cream butter,POTATOS,0
sulphur dioxide,sulphur dioxide,1
Magnesium Hydroxide,Magnesium Hydroxide,1
Chalk,oryza sativa,0
chlorophyl,Ammonium Hydroxide,0
muriatic acid,strained yogurt,0
Calcium Guanylate,E920,0
E406,AGAR AGAR,1
minced turkey,turkey mince,1
QUINOLINE YELLOW,E331,0
E120,beet red,0
chlorophyl,CHLOROPHYL,1
beef joint,beef roast,1
Tartrazine,lamb ribs,0
E172,IRON OXIDE,1
amaranth,stearic acid,0
Sodium Inosinate,DISODIUM INOSINATE,1
Oats,avena sativa,1
SODIUM BICARBONATE,Cheddar Cheese,0
butylated hydroxyanisole,Stearic Acid,0
Carotenes,E160a,1
Methylcellulose,methyl cellulose,1
carob gum,CAROB GUM,1
indigo carmine,calciam,0
cottage cheese,Cottage Cheese,1
turkey mince,ground turkey,1
spelt,spelt,1
CALCIUM CARBONATE,Potatoes,0
glycerol,glycerine,1
Baking Soda,sodium bicarb,1
burnt lime,Gelatin,0
Agar,agar,1
glutamic acid,glutamate,1
spelt,IRN,0
butylated hydroxytoluene,cheddar cheese,0
Iron,irn,1
E213,polysaccharide,0
vitamin b2,lutein,0
Sodium Ascorbate,Sodium Ascorbate,1
buckwheat,buckwheet,1
E320,BUTYLATED HYDROXYANISOLE,1
E104,E905,0
benzoic acid,benzoic,1
monopotassium glutamate,young beef,0
whole milke,MILK,1
Erythrosine,alginic acid,0
E123,AMARANTH,1
quinoline,carnauba wax,0
E102,TARTAZINE,1
E412,MCC,0
biphenyl,ammonium chloride,0
Cochineal,glycerol,0
Cellulose,Cellulose,1
Calcium Hydroxide,buttermilk,0
E213,Monopotassium Glutamate,0
E422,L-CYSTEINE,0
E635,disodium ribonucleotide,1
lamb chops,Spinach,0
Turkey Breast,TURKEY,1
diphenyl,E637,0
roasting chicken,buttermilk,0
L-Cysteine Hydrochloride,cysteine,1
italian cheese,ricota cheese,1
tartaric acid,organic milk,0
CHEDDAR,banans,0
triticum spelta,spelt,1
E140,Magnesium Hydroxide,0
E514,sodium sulfate,1
E924,gelatin,0
glucoze,GLUCOSE,1
whole chiken,ROASTING CHICKEN,1
hexamethylenetetramine,Hexamine,1
E170,sodium lactate,0
Calcium Alginate,GELATINE,0
Rice,Rice,1
DIPOTASSIUM GUANYLATE,CHICKEN LEGS,0
Corn,VITAMIN C,0
gold leaf,GOLD,1
l-cysteine,bananas,0
tartric acid,Tartaric Acid,1
biphenyl,DIPHENYL,1
cholecalciferol,vitamin d,1
sodium hydroxide,E525,0
ammonium chloride,solanum tuberosum,0
Sodium Phosphate,sodium phosphate,1
curd cheese,pot cheese,1
Azodicarbonamide,E927,1
hydrochloric acid,duck,0
Potassium Sulphate,potash sulfate,1
AMMONIA WATER,E632,0
Calcium Glutamate,E623,1
carrots,milk protein,0
sodium lactate,muriatic acid,0
keefir,glucoze,0
potassium benzoate,biphenyl,0
Dibasic acid,tartrate,1
Lutein,Lutein,1
cornish hens,GAME HENS,1
calcium oxide,cellulose,0
mineral oil,petroleum jelly,1
E524,caustic soda,1
Indigo Carmine,Calcium Sulphate,0
vitamin e,VITAMIN E,1
E525,Potassium Hydroxide,1
annatto,chicken breast,0
magnesium carbonate,MAGNESIA ALBA,1
amaranth,arabic gum,0
whole bird,Whole Chicken,1
E621,msg,1
Titanium Dioxide,E404,0
Calcium Sulphate,curd cheese,0
Sodium Carbonate,kcl,0
Chlorine,Flaxseeds,0
ascorbyl palmitate,Whole Chicken,0
Vegetable Carbon,sodium inosinate,0
Lutein,LUTEINE,1
E310,Propyl Gallate,1
beef joint,Beef Roast,1
caramel,essential amino acid,0
Tocopherols,kcl,0
sulfite,SULFUR DIOXIDE,1
E333,bananas,0
cochineal,lecthin,0
Curcumin/Turmeric,CURCUMIN,1
Black PN,ascorbyl palmitate,0
E510,Bananas,0
Magnesium Oxide,MAGNESIA,1
TITANIUM WHITE,SSL,0
soy lecithin,lecithin,1
Sulphuric Acid,millet,0
E461,methyl cellulose,1
E907,MICROWAX,1
Aspartame,flax seeds,0
whole bird,ROASTING CHICKEN,1
calcium,PROPYLENE GLYCOL,0
Bananas,GELATINE,0
E338,Potassium Carbonate,0
Chlorophyll,VITAMIN C,0
indigo,Indigo Carmine,1
chlorine dioxide,CHLORINE OXIDE,1
Kefir,keefir,1
chicken thighs,CHICKEN LEGS,1
octyl gallate,OCTYL GALLATE,1
Water,aqua,1
vitamin E,VITAMIN E,1
bromic acid potassium salt,IRN,0
pg alginate,Propylene Glycol Alginate,1
petroleum jelly,chlorine,0
Salt,Salt,1
Lithol Rubine BK,lithol,1
E153,calcium inosinate,0
Potassium Metabisulphite,agar,0
carrageenan,carageenan,1
Lithol Rubine,epa,0
Enzymes,enzimes,1
Maltol,Maltol,1
calcium phosphate,whole milke,0
E528,magnesia magma,1
potash sulfate,Potassium Sulphate,1
E631,Sodium Inosinate,1
chia seed,PROPYLENE GLYCOL,0
potassium hydroxide,CAUSTIC POTASH,1
E200,phosphate,0
cysteine hcl,cholecalciferol,0
E461,Methylcellulose,1
Sodium Bicarbonate,MINERAL OIL,0
burnt lime,Calcium Oxide,1
clarified butter,GHI,1
lecithin,LECTHIN,1
E100,Turmeric,1
poultry breast,chicken breat,1
vitamin C,vitamin c,1
cream cheese,CREME CHEESE,1
amarant,Amaranth,1
ASCORBYL PALMITATE,ground turkey,0
Benzoic Acid,benzoate,1
burnt lime,BUTTER MILK,0
calcium inosinate,cottage chese,0
Butylated Hydroxyanisole (BHA),BHA,1
E180,lithol,1
aqua ammonia,Ammonium Hydroxide,1
E224,potassium metabisulfite,1
E907,petroleum wax,1
Agar,AGAR AGAR,1
xanthan,E504,0
sodium sulfite,calcium alginate,0
vitamin c,E334,0
Baking Soda,calcium chlor,0
sodium guanylate,DISODIUM GUANYLATE,1
Potassium Guanylate,citrus sinensis,0
vitamin E,E338,0
benzoic,SODIUM ALGINATE,0
MINERAL OIL,milk protein,0
Sodium Alginate,calcium alginate,0
E420,slaked lime,0
Copper Chlorophyll,E141,1
erythrosin,METHYL CELLULOSE,0
Calcium Bisulfite,BRAZIL WAX,0
sodium benzoate,Sodium Benzoate,1
Calcium Phosphate,KEPHIR,0
glycerol,glycerin,1
INDIGOTINE,calcium carbonate,0
guar gum,guar flour,1
poussin,cornish hens,1
sodium glutamate,MSG,1
AMARANTH,whole bird,0
wheet,oats,0
E461,methylcellulose,1
ponceau,caramel color,0
E224,calcium hydrogen sulfite,0
Potassium Benzoate,POTASSIUM BENZOATE,1
Gold,gold leaf,1
E621,MONOSODIUM GLUTAMATE,1
sodium stearoyl lactylate,SODIUM STEAROYL LACTYLATE,1
acacia gum,millet,0
Indigo Carmine,indigo carmine,1
SODIUM ALGINATE,E905,0
azorubin,ascorbic acid,0
Guar Gum,disodium ribonucleotide,0
butylated hydroxyanisole,butylhydroxyanisole,1
sulphur dioxide,DATESS,0
Calcium Hydrogen Sulphite,CALCIUM BISULFITE,1
Magnesium Hydroxide,Mineral Hydrocarbons,0
Oats,OTES,1
beetroot,OMEGA 3,0
SOUR CREME,ferric pyrophosphate,0
sodium phosphate,malus domestica,0
monoammonium glutamate,wheat,0
riboflavin,vitamin b2,1
calcium sorbate,CALCIUM SORBATE,1
Hydrochloric Acid,HCL,1
ethyl para-hydroxybenzoate,SOUR CREME,0
Vitamin D3,cholecalciferol,1
Silver,silver leaf,1
Carrots,vitamin C,0
CHALK,Butter,0
Tartaric Acid,GRAPES,0
panicum miliaceum,millet,1
E627,glycerin,0
Sodium Lactate,E325,1
E341,CALCIUM PHOSPHATE,1
Silver,SILVER,1
Chia Seeds,CHIA SEED,1
Buckwheat,buckwheat,1
ammonium carbonate,hartshorn,1
sunset yellow fcf,dipotassium inosinate,0
cultured cream,sour creme,1
petroleum wax,sour cream,0
luteine,minced beef,0
Sorbitol,quicklime,0
vitamin B2,vitamin b2,1
sodium phosphate,SODIUM PHOSPHATE,1
TITANIUM WHITE,leucine,0
azodicarbonamide,ada,1
enzymes,ENZIMES,1
Chalk,Calcium Carbonate,1
soy lecithin,Barley,0
Butylated Hydroxyanisole (BHA),BUTYLATED HYDROXYANISOLE,1
ammonium alginate,Ammonium Alginate,1
Potassium Sulphate,POTASSIUM SULFATE,1
TURKEY,glucoze,0
E180,lithol rubine bk,1
E321,kephir,0
E160b,pickling lime,0
tartric acid,oats,0
Calcium Phosphate,calcium phosphate,1
ammonia water,CAROTS,0
potassium alginate,vitamin c,0
Potassium Nitrate,potassium nitrate,1
caustic soda,cornish hens,0
glycerol,pearl ash,0
tartric acid,sodium sulfate,0
calcium chlor,cultured buttermilk,0
glycine,AMINOACETIC ACID,1
E334,TARTARIC ACID,1
glycocoll,leusine,0
Black PN,E160b,0
Ascorbyl Palmitate,calcium inosinate,0
calcium hydrogen sulfite,calcium ascorbate,0
Potassium Nitrate,potassium nitrate,1
AZORUBINE,E300,0
Ethyl 4-hydroxybenzoate,ETHYL PARABEN,1
potassium sorbate,calcium citrate,0
calcium stearoyl lactylate,chlorine,0
carmine,CARMINE,1
sodium nitrate,Chicken Thighs,0
Riboflavin,tartarazine,0
calcium phosphate,hartshorn,0
Aluminium,Silver,0
E333,CALCIUM CITRATE,1
linum usitatissimum,Flaxseeds,1
sodium nitrate,chile saltpeter,1
E201,sodium benzoate,0
Calcium Ascorbate,calcium ascorbate,1
SPELT,ferric pyrophosphate,0
Refined Microcrystalline Wax,E907,1
Potassium Chloride,KCL,1
indigo,magnesium oxide,0
clorophyll,TITANIUM WHITE,0
sodium chloride,grapes,0
Ammonium Alginate,E403,1
ponceau,potassium nitrate,0
lithol rubine,steak,0
magnesium glutamate,MAGNESIUM GLUTAMATE,1
calcium glutamate,CALCIUM GLUTAMATE,1
minced beef,ground beef,1
ammonium carbonate,HARTSHORN,1
Aluminium,potassium metabisulfite,0
lithol,Lithol Rubine,1
L-CYSTEINE,water,0
potassium benzoate,glycerol,0
sodium benzoate,Sodium Benzoate,1
sodium lactate,sodium lactate,1
Whole Milk,Whole Milk,1
carotens,BETA CAROTENE,1
E925,Chlorine,1
Quinoline Yellow,lithol rubine bk,0
Magnesium Oxide,magnesium oxide,1
annatto,achiote,1
NaHCO3,sodium bicarbonat,1
Hexamine,glutamic,0
green s,ada,0
lamb shops,Lamb Chops,1
aluminium,Lecithin,0
E102,MICROWAX,0
E440a,pectine,1
carnauba wax,brazil wax,1
Potassium Nitrate,E320,0
potassium chloride,potassium chlor,1
Stearic Acid,octadecanoic acid,1
distilled water,H2O,1
E461,methylcellulose,1
xanthophyll,E637,0
bixin,ANNATO,1
Lithol Rubine,E905,0
calcium sulfite,BRAZIL WAX,0
Gold,soda ash,0
